file,district_id,district_code,date,partner,intervention_id,primary_risk,secondary_risk,severity,trend_cue_included
field_note_057.txt,D119,D-119,2024-05-09,CivicWorks Alliance,I14,governance_fraud,,3,False
field_note_058.txt,D043,D-043,2024-09-12,SolarRise Initiative,I09,m_e_data_gaps,,1,False
field_note_059.txt,D003,D-003,2024-03-27,Horizon Resilience Group,I09,partner_capacity,,2,True
field_note_060.txt,D104,D-104,2024-05-28,SolarRise Initiative,I06,extreme_event_disruption,,2,False
field_note_061.txt,D073,D-073,2024-07-24,WaterFront Implementers,I03,permitting_regulatory,,2,False
field_note_062.txt,D074,D-074,2023-08-28,NovaBridge Partners,I09,procurement_delay,,5,True
field_note_063.txt,D037,D-037,2023-04-10,CivicWorks Alliance,I14,extreme_event_disruption,financing_disbursement,1,False
field_note_064.txt,D047,D-047,2023-08-30,SafeGround Co-op,I14,financing_disbursement,,3,False
field_note_065.txt,D038,D-038,2023-01-22,Horizon Resilience Group,I04,partner_capacity,,4,False
field_note_066.txt,D011,D-011,2023-10-11,Horizon Resilience Group,I07,contractor_quality,,2,False
field_note_067.txt,D075,D-075,2024-03-07,TerraBuild Collective,I12,m_e_data_gaps,,2,True
field_note_068.txt,D016,D-016,2024-11-05,SafeGround Co-op,I04,supply_chain,financing_disbursement,4,False
field_note_069.txt,D059,D-059,2023-05-10,AquaShield Foundation,I16,partner_capacity,,4,True
field_note_070.txt,D006,D-006,2023-08-09,EcoTrust Consortium,I14,partner_capacity,,1,False
field_note_071.txt,D034,D-034,2024-12-04,SolarRise Initiative,I04,procurement_delay,,3,False
field_note_072.txt,D045,D-045,2024-02-25,GreenPath Solutions,I18,m_e_data_gaps,,1,False
field_note_073.txt,D046,D-046,2023-04-21,CivicWorks Alliance,I12,m_e_data_gaps,,1,False
field_note_074.txt,D013,D-013,2023-07-04,EcoTrust Consortium,I18,m_e_data_gaps,,1,True
field_note_075.txt,D049,D-049,2024-06-27,GreenPath Solutions,I13,extreme_event_disruption,,1,True
field_note_076.txt,D102,D-102,2024-11-08,NovaBridge Partners,I03,extreme_event_disruption,financing_disbursement,1,True
field_note_077.txt,D111,D-111,2024-09-05,AquaShield Foundation,I10,governance_fraud,,5,True
field_note_078.txt,D120,D-120,2024-12-21,NovaBridge Partners,I04,governance_fraud,,1,False
field_note_079.txt,D101,D-101,2024-03-03,TerraBuild Collective,I15,contractor_quality,,1,False
field_note_080.txt,D020,D-020,2023-11-14,AquaShield Foundation,I14,permitting_regulatory,,1,True
field_note_081.txt,D086,D-086,2023-08-30,EcoTrust Consortium,I07,contractor_quality,,3,False
field_note_082.txt,D044,D-044,2024-10-12,WaterFront Implementers,I15,m_e_data_gaps,,5,False
field_note_083.txt,D105,D-105,2024-04-17,WaterFront Implementers,I15,community_buy_in,,3,True
field_note_084.txt,D021,D-021,2023-02-12,SafeGround Co-op,I17,governance_fraud,,4,False
field_note_085.txt,D001,D-001,2023-03-28,GreenPath Solutions,I02,partner_capacity,,4,False
field_note_086.txt,D116,D-116,2024-11-26,EcoTrust Consortium,I06,contractor_quality,,3,False
field_note_087.txt,D106,D-106,2023-06-03,EcoTrust Consortium,I13,community_buy_in,,3,False
field_note_088.txt,D058,D-058,2024-11-17,GreenPath Solutions,I03,supply_chain,,3,False
field_note_089.txt,D114,D-114,2023-05-21,NovaBridge Partners,I10,permitting_regulatory,,2,True
field_note_090.txt,D054,D-054,2024-01-09,GreenPath Solutions,I13,extreme_event_disruption,permitting_regulatory,2,True
